ID,Название (Title):,Описание( Summary):,Приоритет (Priority),Предусловия (Preconditions),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):,Автоматизазия
1,Вход в приложение,Описание если необходимо,,Предусловия если необходимы,1 зайти на страницу ru.iteco.fmhandroid ,1 страница открылась,да
",,,,,2  авторизаваться,""2 Система отображает поле """"Login"""" и """"Password"""", а также кнопку “Sign in”."
",
,,,,,3  заполнить поля валидными значениями,3  поля заполняются,
,,,,,4  нажать кнопку “Sign in”,4 отображается главная страница приложения,
2,Работа главной кнопки меню приложения,Описание если необходимо,,Предусловия если необходимы,1 зайти на страницу ru.iteco.fmhandroid ,1 страница открылась,да
,,,,,2 авторизаваться,""2 Система отображает поле ""Login"" и ""Password"", а также кнопку “Sign in”.
"",
,,,,,3  заполнить поля валидными значениями,3  поля заполняются,
,,,,,4  нажать кнопку “Sign in”,4 отображается главная страница приложения,
,,,,,5   нажать кнопку Главное меню,5 появляется окно со вкладками,
,,,,,6 нажать кнопку “Claims”,""6  отображается  страница приложения ""Claims"" с ее функционалом"",
3,Оформление притензии,Описание если необходимо,,Предусловия если необходимы,,,да
,,,,,1 зайти на страницу ru.iteco.fmhandroid ,1 страница открылась,
,,,,,2 авторизаваться,""2 Система отображает поле ""Login"" и ""Password"", а также кнопку “Sign in”.
"",
,,,,,3  заполнить поля валидными значениями,3  поля заполняются,
,,,,,4  нажать кнопку “Sign in”,4 отображается главная страница приложения,
,,,,,5   нажать кнопку Главное меню,5 появляется окно со вкладками,
,,,,,6 нажать кнопку “Claims”,""6  отображается  страница приложения ""Claims"" с ее функционалом"",
,,,,,"" 7 нажать кнопку ""Создать"""",7  отобразится форма притензии,
,,,,, 8 заполнить поля валидными значениями,8 поля заполняются,
,,,,,"" 9 нажать кнопку ""Save"""",9 притензия появилась в общем списке притензий,
4,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
""Номер
тестового
сценария"",Название тестового сценария,Описание если необходимо,,Предусловия если необходимы,1,1,
,,,,,2,2,
,,,,,3,3,
,,,,,4,4,
,,,,,6,5,
,,,,,6,6,
,,,,,7,7,
,,,,,8,8,
,,,,,9,9,
,,,,,10,10,
""Номер
тестового
сценария"",Название тестового сценария,Описание если необходимо,,Предусловия если необходимы,1,1,
,,,,,2,2,
,,,,,3,3,
,,,,,4,4,
,,,,,5,5,
,,,,,6,6,
,,,,,7,7,
,,,,,8,8,
,,,,,9,9,
,,,,,10,10,
"
